"Indicadores","Máximo","Mínimo"
"1","Cultura",5.58931581705161,-0.350896479529928
"2","Asistencia_social",5.2663198179346,-0.272289807215266
"3","Comercio",7.59505212599486,-0.469856100333851
"4","Comunicaciones",4.18790213198914,-0.228189265120469
"5","Transporte",6.17712805522302,-0.00823631955552566
"6","Deporte_Recreacion",4.53074986303769,-0.311270452069553
"7","Administracion_publica",4.28090621832548,-0.390785936007887
"8","Servicios_urbanos",2.7285996279745,-0.46325320776814
"9","Servicios_financieros",8.70453825910335,-0.221316140650676
"10","Hoteleria_Restaurantes",7.88702107112609,-0.344337973688937
"11","Talleres",5.70160674594098,-0.738592010741021
